['Brussel-Noord/Bruxelles-Nord', 13.0]
['Brussel-Centraal/Bruxelles-Central', 13.0]
['Antwerpen-Berchem', 7.0]
['Brussels Airport - Zaventem', 7.0]
['Brussel-Zuid/Bruxelles-Midi', 7.0]
['Mechelen', 6.0]
['Halle', 5.0]
['Saint-Ghislain', 4.0]
['Rotterdam CS', 4.0]
['Thulin', 4.0]
