['BE.NMBS.IC2420', np.int64(74)]
['BE.NMBS.IC1821', np.int64(54)]
['BE.NMBS.IC1738', np.int64(43)]
['BE.NMBS.IC1719', np.int64(42)]
['BE.NMBS.IC2417', np.int64(41)]
['BE.NMBS.L4990', np.int64(36)]
['BE.NMBS.S53688', np.int64(36)]
['BE.NMBS.P8000', np.int64(31)]
['BE.NMBS.IC3615', np.int64(29)]
['BE.NMBS.IC1716', np.int64(28)]
