['BE.NMBS.IC543 (20)', 1.0]
['BE.NMBS.IC1842 (19)', 1.0]
['BE.NMBS.L871 (18)', 1.0]
['BE.NMBS.L2492 (12)', 1.0]
['BE.NMBS.IC1834 (12)', 1.0]
['BE.NMBS.IC1939 (11)', 1.0]
['BE.NMBS.IC1841 (11)', 1.0]
['BE.NMBS.IC3413 (10)', 1.0]
['BE.NMBS.L2481 (9)', 1.0]
['BE.NMBS.IC413 (9)', 1.0]
