['Aéroport Charles-de-Gaulle TGV (1)', 1.0]
['Huy (5)', 0.8]
['Jemeppe-sur-Sambre (12)', 0.6667]
['Jurbeke (24)', 0.5417]
['Aalst (669)', 0.4978]
['Denderleeuw (92)', 0.4457]
['Roosendaal (303)', 0.4455]
['Dendermonde (784)', 0.4235]
['Geraardsbergen (587)', 0.3816]
['Puurs (391)', 0.3734]
