['Brussel-Zuid/Bruxelles-Midi', 868.0]
['Brussel-Centraal/Bruxelles-Central', 838.0]
['Brussel-Noord/Bruxelles-Nord', 799.0]
['Antwerpen-Berchem', 355.0]
['Liège-Guillemins', 345.0]
['Mechelen', 315.0]
['Leuven', 253.0]
['Brussels Airport - Zaventem', 222.0]
['Namur', 211.0]
['Antwerpen-Centraal', 180.0]
