['Brussel-Noord/Bruxelles-Nord', np.int64(41)]
['Liège-Guillemins', np.int64(37)]
['Brussel-Centraal/Bruxelles-Central', np.int64(28)]
['Liège-Carré', np.int64(27)]
['Oostende', np.int64(23)]
['Brugge', np.int64(20)]
['Gent-Sint-Pieters', np.int64(17)]
['Brussels Airport - Zaventem', np.int64(17)]
['Brussel-Zuid/Bruxelles-Midi', np.int64(15)]
['Statte', np.int64(14)]
