['Antwerpen-Centraal', 1676.0]
['Brussel-Zuid/Bruxelles-Midi', 1105.0]
['Liège-Guillemins', 871.0]
['Aalst', 787.0]
['Zottegem', 669.0]
['Dendermonde', 644.0]
['Leuven', 608.0]
['Namur', 444.0]
['Nivelles', 421.0]
['Mons', 374.0]
