['Aarsele (1)', 1.0]
['Maubray (1)', 1.0]
['Lens (32)', 0.9375]
['Thurn en Taxis/Tour et Taxis (30)', 0.9333]
['Kijkuit (37)', 0.9189]
['Sint-Agatha-Berchem/Berchem-Sainte-Agathe (55)', 0.8364]
['Gontrode (37)', 0.7838]
['Balegem-Zuid (40)', 0.775]
['Engis (26)', 0.7692]
['Dilbeek (56)', 0.7679]
